name*,version*,license*,vendor/community,end-of-support,dependencies,language
antlr,2.7.7-redhat-1,BSD 3-clause,,,,java
aopalliance,1.0.0,Public Domain,,,,java
asm,3.3.1,BSD 3-clause,,,,java
"aspectjrt,1.8.13,EPL 1.0,,,,java
"
cglib,2.2.2,Apache 2.0,,,,java
commons-beanutils,1.8.3,Apache 2.0,,,,java
commons-codec,1.7,Apache 2.0,,,,java
commons-collections,3.2.1,Apache 2.0,,,,java
commons-fileupload,1.4,Apache 2.0,,,,java
commons-httpclient,3.1,Apache 2.0,,,,java
commons-lang,2.6,Apache 2.0,,,,java
commons-lang3,8.1,Apache 2.0,,,,java
commons-logging,1.2,Apache 2.0,,,,java
displaytag,1.2,Artistic License,,,,java
dom4j,1.6.1-redhat-1,BSD 4-clause,,,,java
freemarker,2.3.31,Apache 2.0,,,,java
jackson-core-asl,1.9.2-redhat-1,Apache 2.0,,,,java
jackson-mapper-asl,1.9.2-redhat-1,Apache 2.0,,,,java
javassist,3.20.0-GA,Apache 2.0+LGPL 2.1+MPL 1.1,,,,java
jboss-jsp-api_2.2_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jboss-servlet-api_3.0_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jtype,0.1.1-redhat-1,Apache 2.0,,,,java
junit,4.11,EPL 1.0,,,,java
log4j,1.2.15,Apache 2.0,,,,java
log4j-api,2.17.1,Apache 2.0,,,,java
ognl,3.1.29,Apache 2.0,,,,java
remincl,1.0.3,Apache 2.0,,,,java
spring-aop,4.3.25.RELEASE,Apache 2.0,,,,java
spring-beans,4.3.26.RELEASE,Apache 2.0,,,,java
spring-context,4.3.26.RELEASE,Apache 2.0,,,,java
spring-core,4.3.26.RELEASE,Apache 2.0,,,,java
spring-expression,4.3.26.RELEASE,Apache 2.0,,,,java
spring-test,4.3.26.RELEASE,Apache 2.0,,,,java
spring-web,4.3.26.RELEASE,Apache 2.0,,,,java
struts2-arianna-plugin,0.7-beta.1,Apache 2.0,,,,java
struts2-core,2.5.30,Apache 2.0,,,,java
struts2-json-plugin,2.5.30,Apache 2.0,,,,java
struts2-spring-plugin,2.5.30,Apache 2.0,,,,java
util-perf,1.0.2,Apache 2.0,,,,java
bootbox,3.3.0,MIT,,,,javascript
bootstrap,2.1.1,Apache 2.0,,,,javascript
bwizard,,GPL 3.0,,,,javascript
datatable,1.9.4,GPL 2.0+BSD 3-clause,,,,javascript
jquery,1.8.1,MIT,,,,javascript
jquery.masonry,2.1.08,MIT,,,,javascript
placeholders,3.0.2,MIT,,,,javascript
prettify,,Apache 2.0,,,,javascript
ztree,3.5.12,MIT,,,,javascript
